audit_id,tower_id,city,state,tower_type,tower_height_ft,audit_date,audit_type,inspector,contracted_carriers,physical_carriers_found,contracted_antennas,physical_antennas_found,contracted_cabinets,physical_cabinets_found,discrepancy_type,severity,unauthorized_carrier,finding_notes,est_monthly_revenue_impact_usd,est_annual_revenue_impact_usd
AUD-653306-202503,CC-TWR-653306,Duluth,MN,Monopole,270,2025-03-11,Annual Compliance Check,M. Thompson — Summit QA,2,2,19,19,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-689318-202502,CC-TWR-689318,Aurora,IL,Monopole,300,2025-02-21,Structural Engineering Visit,A. Williams — Black & Veatch,2,2,19,19,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-336650-202502,CC-TWR-336650,Lafayette,LA,Stealth/Concealed,320,2025-02-25,Field Audit,K. Patel — Vertical Bridge Inspections,1,1,10,14,0,0,extra_antennas,WARNING,,4 additional antenna(s) found at RAD center attributed to T-Mobile — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,1956.14,23473.68
AUD-561865-202501,CC-TWR-561865,Oklahoma City,OK,Monopole,180,2025-01-24,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,2,2,12,14,0,0,extra_antennas,WARNING,,2 additional antenna(s) found at RAD center attributed to AT&T — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,1161.68,13940.15
AUD-251195-202503,CC-TWR-251195,Davenport,IA,Self-Supporting Lattice,320,2025-03-14,Insurance Inspection,S. Johnson — Summit Field Ops,2,2,12,12,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-552275-202503,CC-TWR-552275,Waldorf,MD,Monopole,280,2025-03-20,Field Audit,J. Martinez — SBA Engineering,2,2,21,21,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-924040-202503,CC-TWR-924040,St. Louis,MO,Stealth/Concealed,200,2025-03-27,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-924566-202501,CC-TWR-924566,Independence,MO,Guyed Tower,200,2025-01-28,Annual Compliance Check,A. Williams — Black & Veatch,2,2,15,15,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-706403-202503,CC-TWR-706403,Knoxville,TN,Self-Supporting Lattice,100,2025-03-31,Insurance Inspection,R. Chen — SAI Group,2,2,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-139807-202503,CC-TWR-139807,Rockford,IL,Self-Supporting Lattice,100,2025-03-27,Annual Compliance Check,D. Kim — WSP USA,1,2,24,29,0,1,unauthorized_carrier,CRITICAL,Ligado,"Unauthorized equipment detected: Ligado — 5 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",6903.76,82845.12
AUD-880746-202503,CC-TWR-880746,Fort Wayne,IN,Monopole,160,2025-03-21,Annual Compliance Check,D. Kim — WSP USA,1,1,7,7,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-118632-202503,CC-TWR-118632,Phoenix,AZ,Guyed Tower,110,2025-03-29,Drone Inspection,D. Kim — WSP USA,2,2,33,33,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-861411-202502,CC-TWR-861411,Houston,TX,Monopole,340,2025-02-04,Insurance Inspection,A. Williams — Black & Veatch,2,2,13,13,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-874524-202502,CC-TWR-874524,Virginia Beach,VA,Monopole,240,2025-02-16,Field Audit,S. Johnson — Summit Field Ops,1,1,12,12,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-234443-202503,CC-TWR-234443,Joliet,IL,Self-Supporting Lattice,290,2025-03-14,Insurance Inspection,M. Thompson — Summit QA,2,2,22,22,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-594580-202502,CC-TWR-594580,Milwaukee,WI,Guyed Tower,270,2025-02-13,Drone Inspection,S. Johnson — Summit Field Ops,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-770872-202503,CC-TWR-770872,Colorado Springs,CO,Rooftop,260,2025-03-04,Annual Compliance Check,L. Garcia — Terracon Consultants,2,2,29,29,4,4,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-986438-202503,CC-TWR-986438,Duluth,MN,Monopole,250,2025-03-06,Insurance Inspection,J. Martinez — SBA Engineering,2,2,24,24,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-863187-202503,CC-TWR-863187,Los Angeles,CA,Monopole,240,2025-03-01,Insurance Inspection,J. Martinez — SBA Engineering,3,3,25,25,0,1,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to AT&T. Not in current lease scope. Ground space consumption ~111 sq ft unbilled.,584.46,7013.54
AUD-872519-202501,CC-TWR-872519,Richmond,VA,Monopole,90,2025-01-07,Annual Compliance Check,M. Thompson — Summit QA,2,2,30,30,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-214975-202503,CC-TWR-214975,Reading,PA,Guyed Tower,120,2025-03-21,Annual Compliance Check,L. Garcia — Terracon Consultants,1,1,18,18,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-831514-202502,CC-TWR-831514,Cleveland,OH,Monopole,190,2025-02-02,Field Audit,A. Williams — Black & Veatch,4,4,32,32,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-749342-202502,CC-TWR-749342,Minneapolis,MN,Rooftop,180,2025-02-02,Drone Inspection,A. Williams — Black & Veatch,2,2,14,14,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-961957-202501,CC-TWR-961957,Lakewood,CO,Monopole,190,2025-01-04,Field Audit,S. Johnson — Summit Field Ops,2,2,16,16,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-990649-202503,CC-TWR-990649,Louisville,KY,Monopole,280,2025-03-23,Annual Compliance Check,M. Thompson — Summit QA,2,3,29,34,4,5,unauthorized_carrier,CRITICAL,Anterix,"Unauthorized equipment detected: Anterix — 5 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",2636.83,31642.02
AUD-750810-202503,CC-TWR-750810,Lake Charles,LA,Stealth/Concealed,310,2025-03-28,Field Audit,L. Garcia — Terracon Consultants,2,2,13,13,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-890170-202503,CC-TWR-890170,Racine,WI,Monopole,150,2025-03-19,Drone Inspection,A. Williams — Black & Veatch,2,2,22,22,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-957915-202502,CC-TWR-957915,Gresham,OR,Monopole,150,2025-02-17,Field Audit,M. Thompson — Summit QA,2,2,19,19,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-907788-202502,CC-TWR-907788,St. Paul,MN,Guyed Tower,100,2025-02-08,Structural Engineering Visit,J. Martinez — SBA Engineering,2,2,23,24,1,1,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to Verizon — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,729.25,8751.02
AUD-302127-202501,CC-TWR-302127,Lake Charles,LA,Monopole,340,2025-01-27,Insurance Inspection,M. Thompson — Summit QA,1,1,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-861319-202503,CC-TWR-861319,Iowa City,IA,Rooftop,170,2025-03-23,Field Audit,R. Chen — SAI Group,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-117711-202502,CC-TWR-117711,Chattanooga,TN,Stealth/Concealed,200,2025-02-04,Drone Inspection,A. Williams — Black & Veatch,2,2,9,9,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-965401-202503,CC-TWR-965401,Clarksville,TN,Monopole,270,2025-03-01,Field Audit,R. Chen — SAI Group,3,3,20,20,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-941814-202503,CC-TWR-941814,Lakewood,CO,Guyed Tower,310,2025-03-12,Annual Compliance Check,D. Kim — WSP USA,2,2,13,13,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-343118-202503,CC-TWR-343118,Cincinnati,OH,Monopole,330,2025-03-03,Drone Inspection,K. Patel — Vertical Bridge Inspections,2,2,14,14,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-863611-202501,CC-TWR-863611,Knoxville,TN,Guyed Tower,90,2025-01-03,Structural Engineering Visit,J. Martinez — SBA Engineering,2,2,15,15,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-463546-202503,CC-TWR-463546,Columbia,SC,Self-Supporting Lattice,240,2025-03-19,Field Audit,A. Williams — Black & Veatch,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-896456-202502,CC-TWR-896456,Seattle,WA,Self-Supporting Lattice,280,2025-02-18,Drone Inspection,M. Thompson — Summit QA,2,2,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-971084-202501,CC-TWR-971084,Lansing,MI,Stealth/Concealed,100,2025-01-25,Insurance Inspection,J. Martinez — SBA Engineering,2,2,23,23,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-977345-202501,CC-TWR-977345,Bridgeport,CT,Guyed Tower,220,2025-01-12,Drone Inspection,K. Patel — Vertical Bridge Inspections,2,2,20,20,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-778636-202501,CC-TWR-778636,Oklahoma City,OK,Self-Supporting Lattice,130,2025-01-26,Structural Engineering Visit,M. Thompson — Summit QA,2,2,12,12,1,1,upgraded_equipment,WARNING,,Equipment upgrade detected for T-Mobile: antennas replaced with larger massive MIMO units — increased wind load and power draw. Original contract specifies Nokia AAFIA. No modification application on file.,513.59,6163.09
AUD-478638-202502,CC-TWR-478638,San Jose,CA,Guyed Tower,180,2025-02-16,Annual Compliance Check,M. Thompson — Summit QA,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-782141-202501,CC-TWR-782141,Independence,MO,Self-Supporting Lattice,330,2025-01-29,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,3,3,21,21,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-132359-202503,CC-TWR-132359,Sterling Heights,MI,Stealth/Concealed,330,2025-03-31,Annual Compliance Check,R. Chen — SAI Group,2,2,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-423939-202502,CC-TWR-423939,Milwaukee,WI,Self-Supporting Lattice,330,2025-02-20,Annual Compliance Check,M. Thompson — Summit QA,2,2,17,17,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-665610-202501,CC-TWR-665610,Scottsdale,AZ,Monopole,190,2025-01-19,Annual Compliance Check,D. Kim — WSP USA,5,5,40,40,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-972565-202501,CC-TWR-972565,Atlanta,GA,Self-Supporting Lattice,120,2025-01-01,Drone Inspection,L. Garcia — Terracon Consultants,2,2,13,13,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-466375-202501,CC-TWR-466375,Toledo,OH,Monopole,150,2025-01-17,Insurance Inspection,R. Chen — SAI Group,2,2,16,16,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-460572-202502,CC-TWR-460572,Kansas City,MO,Monopole,210,2025-02-20,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,2,2,13,13,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-480303-202503,CC-TWR-480303,Rockford,IL,Rooftop,110,2025-03-14,Drone Inspection,S. Johnson — Summit Field Ops,2,2,35,35,1,2,extra_cabinet,WARNING,,Additional ground equipment cabinet found — attributed to T-Mobile. Not in current lease scope. Ground space consumption ~95 sq ft unbilled.,621.56,7458.7
AUD-857997-202501,CC-TWR-857997,Shreveport,LA,Monopole,260,2025-01-08,Insurance Inspection,M. Thompson — Summit QA,1,1,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-788049-202501,CC-TWR-788049,Jacksonville,FL,Monopole,240,2025-01-25,Drone Inspection,L. Garcia — Terracon Consultants,1,1,12,12,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-151328-202502,CC-TWR-151328,San Francisco,CA,Monopole,290,2025-02-24,Drone Inspection,J. Martinez — SBA Engineering,1,1,7,7,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-791567-202501,CC-TWR-791567,Baton Rouge,LA,Stealth/Concealed,120,2025-01-13,Insurance Inspection,A. Williams — Black & Veatch,3,3,27,27,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-579404-202503,CC-TWR-579404,Fort Collins,CO,Rooftop,110,2025-03-16,Field Audit,S. Johnson — Summit Field Ops,2,2,14,14,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-322423-202502,CC-TWR-322423,Austin,TX,Stealth/Concealed,190,2025-02-27,Field Audit,R. Chen — SAI Group,2,3,23,26,2,3,unauthorized_carrier,CRITICAL,Geoverse,"Unauthorized equipment detected: Geoverse — 3 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",3493.18,41918.17
AUD-497562-202501,CC-TWR-497562,Fort Wayne,IN,Stealth/Concealed,290,2025-01-13,Insurance Inspection,J. Martinez — SBA Engineering,2,2,23,23,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-871476-202502,CC-TWR-871476,Naperville,IL,Rooftop,250,2025-02-19,Field Audit,M. Thompson — Summit QA,1,1,12,12,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-502810-202501,CC-TWR-502810,Augusta,GA,Monopole,270,2025-01-01,Drone Inspection,L. Garcia — Terracon Consultants,2,2,22,23,1,1,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to T-Mobile — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,555.8,6669.63
AUD-827369-202502,CC-TWR-827369,Minneapolis,MN,Rooftop,230,2025-02-02,Annual Compliance Check,S. Johnson — Summit Field Ops,2,2,12,12,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-888734-202503,CC-TWR-888734,Toledo,OH,Rooftop,190,2025-03-14,Drone Inspection,K. Patel — Vertical Bridge Inspections,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-611945-202501,CC-TWR-611945,Carmel,IN,Rooftop,150,2025-01-04,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,4,4,31,31,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-829066-202503,CC-TWR-829066,Hillsboro,OR,Self-Supporting Lattice,140,2025-03-26,Field Audit,K. Patel — Vertical Bridge Inspections,1,1,7,7,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-560959-202501,CC-TWR-560959,Arlington,VA,Monopole,210,2025-01-08,Structural Engineering Visit,S. Johnson — Summit Field Ops,1,1,18,18,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-753534-202502,CC-TWR-753534,Sacramento,CA,Monopole,300,2025-02-12,Field Audit,J. Martinez — SBA Engineering,1,1,4,4,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-132653-202502,CC-TWR-132653,Lakewood,CO,Self-Supporting Lattice,120,2025-02-24,Field Audit,D. Kim — WSP USA,1,1,16,16,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-582662-202501,CC-TWR-582662,Broken Arrow,OK,Monopole,190,2025-01-18,Field Audit,R. Chen — SAI Group,1,1,7,7,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-558339-202501,CC-TWR-558339,Evansville,IN,Monopole,200,2025-01-15,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,5,5,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-493663-202503,CC-TWR-493663,Owensboro,KY,Guyed Tower,210,2025-03-31,Drone Inspection,L. Garcia — Terracon Consultants,3,3,35,35,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-823846-202503,CC-TWR-823846,Lakewood,CO,Monopole,160,2025-03-14,Field Audit,M. Thompson — Summit QA,2,2,19,19,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-397809-202502,CC-TWR-397809,Independence,MO,Guyed Tower,140,2025-02-21,Field Audit,R. Chen — SAI Group,1,1,18,18,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-915573-202502,CC-TWR-915573,Waldorf,MD,Self-Supporting Lattice,340,2025-02-22,Annual Compliance Check,R. Chen — SAI Group,2,2,12,12,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-312616-202502,CC-TWR-312616,Augusta,GA,Monopole,340,2025-02-16,Drone Inspection,M. Thompson — Summit QA,1,1,3,3,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-985893-202501,CC-TWR-985893,Stamford,CT,Monopole,190,2025-01-02,Insurance Inspection,J. Martinez — SBA Engineering,1,1,14,14,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-726111-202501,CC-TWR-726111,Boston,MA,Self-Supporting Lattice,250,2025-01-20,Drone Inspection,L. Garcia — Terracon Consultants,1,1,9,9,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-934042-202501,CC-TWR-934042,Rock Hill,SC,Rooftop,310,2025-01-15,Insurance Inspection,K. Patel — Vertical Bridge Inspections,2,2,16,16,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-398761-202502,CC-TWR-398761,Macon,GA,Monopole,320,2025-02-26,Field Audit,R. Chen — SAI Group,2,2,14,17,2,2,extra_antennas,WARNING,,3 additional antenna(s) found at RAD center attributed to AT&T — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,1527.56,18330.69
AUD-358207-202502,CC-TWR-358207,Joliet,IL,Stealth/Concealed,150,2025-02-11,Drone Inspection,L. Garcia — Terracon Consultants,2,2,14,14,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-483041-202502,CC-TWR-483041,Carmel,IN,Stealth/Concealed,260,2025-02-25,Structural Engineering Visit,L. Garcia — Terracon Consultants,2,2,15,15,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-156213-202501,CC-TWR-156213,Chattanooga,TN,Stealth/Concealed,120,2025-01-19,Drone Inspection,K. Patel — Vertical Bridge Inspections,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-727354-202502,CC-TWR-727354,Baton Rouge,LA,Rooftop,250,2025-02-28,Insurance Inspection,M. Thompson — Summit QA,1,1,6,6,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-575435-202502,CC-TWR-575435,Tulsa,OK,Monopole,280,2025-02-01,Field Audit,M. Thompson — Summit QA,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-637179-202501,CC-TWR-637179,Erie,PA,Monopole,170,2025-01-11,Field Audit,D. Kim — WSP USA,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-502491-202501,CC-TWR-502491,Gresham,OR,Monopole,320,2025-01-01,Field Audit,R. Chen — SAI Group,2,2,18,18,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-626560-202503,CC-TWR-626560,Edison,NJ,Monopole,80,2025-03-07,Annual Compliance Check,K. Patel — Vertical Bridge Inspections,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-237962-202503,CC-TWR-237962,Arlington,VA,Self-Supporting Lattice,140,2025-03-23,Structural Engineering Visit,S. Johnson — Summit Field Ops,3,3,26,26,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-711046-202502,CC-TWR-711046,Tuscaloosa,AL,Self-Supporting Lattice,290,2025-02-27,Structural Engineering Visit,D. Kim — WSP USA,2,2,13,13,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-291961-202502,CC-TWR-291961,Huntsville,AL,Monopole,290,2025-02-10,Field Audit,J. Martinez — SBA Engineering,3,3,28,26,3,3,missing_equipment,INFO,,2 antenna(s) contracted for T-Mobile not physically present. Equipment may have been decommissioned without lease amendment — verify if overpaying for unused capacity.,-1378.18,-16538.18
AUD-313701-202503,CC-TWR-313701,San Antonio,TX,Monopole,250,2025-03-18,Field Audit,M. Thompson — Summit QA,0,0,0,0,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-586288-202503,CC-TWR-586288,Bowling Green,KY,Self-Supporting Lattice,110,2025-03-16,Drone Inspection,D. Kim — WSP USA,1,1,5,15,0,0,terminated_still_present,WARNING,,Equipment from TERMINATED lease (TL-268981C5) still physically present: 10 antennas for T-Mobile. Removal deadline may have passed. Blocking potential new tenant revenue on these slots.,1167.68,14012.11
AUD-555589-202502,CC-TWR-555589,Montgomery,AL,Monopole,110,2025-02-16,Insurance Inspection,R. Chen — SAI Group,1,1,9,10,0,0,extra_antennas,WARNING,,1 additional antenna(s) found at RAD center attributed to DISH Wireless — not in current equipment manifest. Likely upgrade without amendment. Structural load may exceed analysis.,490.61,5887.32
AUD-198867-202502,CC-TWR-198867,Cambridge,MA,Monopole,90,2025-02-12,Annual Compliance Check,J. Martinez — SBA Engineering,1,1,9,9,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-830302-202502,CC-TWR-830302,Eugene,OR,Self-Supporting Lattice,290,2025-02-06,Annual Compliance Check,L. Garcia — Terracon Consultants,3,3,24,24,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-395459-202501,CC-TWR-395459,Bloomington,MN,Guyed Tower,320,2025-01-31,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,1,1,3,3,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-327999-202503,CC-TWR-327999,Greensboro,NC,Guyed Tower,310,2025-03-02,Structural Engineering Visit,K. Patel — Vertical Bridge Inspections,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-916990-202502,CC-TWR-916990,Evansville,IN,Monopole,290,2025-02-16,Structural Engineering Visit,J. Martinez — SBA Engineering,1,1,8,8,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-713762-202501,CC-TWR-713762,Kenosha,WI,Monopole,210,2025-01-10,Annual Compliance Check,R. Chen — SAI Group,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-734565-202502,CC-TWR-734565,Syracuse,NY,Monopole,320,2025-02-23,Structural Engineering Visit,R. Chen — SAI Group,1,1,12,12,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-327408-202501,CC-TWR-327408,Indianapolis,IN,Monopole,260,2025-01-17,Annual Compliance Check,D. Kim — WSP USA,1,1,8,8,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-775960-202502,CC-TWR-775960,Spokane,WA,Monopole,320,2025-02-16,Structural Engineering Visit,J. Martinez — SBA Engineering,2,2,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-875753-202501,CC-TWR-875753,San Antonio,TX,Self-Supporting Lattice,280,2025-01-19,Annual Compliance Check,A. Williams — Black & Veatch,1,1,6,6,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-823255-202503,CC-TWR-823255,Miami,FL,Guyed Tower,110,2025-03-15,Insurance Inspection,L. Garcia — Terracon Consultants,1,2,8,10,1,2,unauthorized_carrier,CRITICAL,Anterix,"Unauthorized equipment detected: Anterix — 2 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",3939.37,47272.42
AUD-805034-202502,CC-TWR-805034,Joliet,IL,Guyed Tower,120,2025-02-25,Field Audit,A. Williams — Black & Veatch,1,2,14,17,1,2,unauthorized_carrier,CRITICAL,Anterix,"Unauthorized equipment detected: Anterix — 3 antennas, 1 cabinet installed without lease amendment. No contract on file for this carrier.",3668.05,44016.59
AUD-207197-202503,CC-TWR-207197,San Antonio,TX,Stealth/Concealed,120,2025-03-17,Insurance Inspection,S. Johnson — Summit Field Ops,1,1,10,10,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-855053-202503,CC-TWR-855053,Fort Worth,TX,Monopole,210,2025-03-24,Drone Inspection,L. Garcia — Terracon Consultants,2,2,16,16,2,2,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-488571-202502,CC-TWR-488571,Louisville,KY,Self-Supporting Lattice,100,2025-02-07,Annual Compliance Check,J. Martinez — SBA Engineering,3,3,28,28,3,3,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-629903-202503,CC-TWR-629903,Detroit,MI,Monopole,270,2025-03-27,Structural Engineering Visit,M. Thompson — Summit QA,1,1,12,12,0,0,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-499226-202501,CC-TWR-499226,New Haven,CT,Monopole,130,2025-01-11,Structural Engineering Visit,L. Garcia — Terracon Consultants,2,2,11,11,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
AUD-412856-202503,CC-TWR-412856,Pittsburgh,PA,Self-Supporting Lattice,220,2025-03-25,Drone Inspection,R. Chen — SAI Group,2,2,12,12,1,1,none,PASS,,No discrepancies observed.,0.0,0.0
